Tone ,Pinyin,Character,Meaning
3,yu,与,and/with
1,fu,夫,husband; man
1,qi,妻,wife
4,tui,退,move back
1,xiu,休,cease
2,bo,博,plentiful; erudite
4,wu,物,thing; other
3,guan,馆,accomodation
4,san,散,disperse
4,bu,步,step
4,duan,锻,forge
4,lian,炼,smelt; temper
1,quan,圈,encircle
2,pai,排,line up
4,dui,队,m. rows columns
4,tai,太,greatest
2,ji,极,utmost
2,quan,拳,pugilism
3,zao,早,morning; early
2,chen,晨,morning
2,cheng,成,accomplish
2,wei,为,do; act; become
3,shi,使,to make; cause
3,xian,显,to appear
0,de,得,to express capability
2,huo,活,live; alive
4,li,力,physical strength
1,chu,出,exit
2,men,门,door
2,yu,瑜,fine jade
1,jia,伽,gal
4,dong,动,move; stir
4,zuo,作,work; compose
4,shu,树,tree
3,biao,表,meter; watch
3,yan,演,evolve; deduce
4,zhong,重,heavy; serious
4,shi,视,look; inspect
4,zhu,注,pour; concentrate
4,yi,意,meaning; intention
3,deng,等,rank; kind; wait
4,jian,健,healthy
1,shen,身,body
2,fang,房,house-like
3,ou,偶,image; idol
3,er,尔,thou; like that
1,shen,身,body
2,cai,材,stature; figure
3,deng,等,rank; kind; wait
2,yu,于,in; at
3,jian,减,subtract
2,fei,肥,fat; fertile
3,zhi,只,merely
4,yao,要,essentials
2,sui,随,follow; compy
4,bian,便,urine; convenient
2,ji,即,assume
3,shi,使,make; cause
2,ying,营,seek; operate; barracks
3,yang,养,cultivation; support
3,bao,饱,full; satiated
3,ke,可,approve; ready
4,jian,见,opinion; meet with; see
1,ke,科,branch; discipline; course
2,xue,学,learning; study
1,fang,方,square; exponent
4,mian,面,face; surface
1,xi,吸,inhale; suck
1,yan,烟,smoke; cig
2,ao,熬,cook; extract essence
4,ye,夜,night
4,bi,必,certainly; necessarily
1,xu,须,must; wait
3,bu,补,mend; supply
1,chong,充,fill; serve as; pose as
4,shui,睡,sleep
2,mian,眠,dormancy
3,fou,否,negate; disapprove
2,ze,则,standard; rule
1,zhi,只,m. some paired things; some animals
2,xiong,熊,bear; gloomy
1,mao,猫,cat; conceal; bend forward
3,Li,李,plum
2,Wen,文,language
